halId_s,uri_s,title_s,authFullName_s,producedDate_s,producedDateY_i,journalTitle_s,conferenceTitle_s,country_s
hal-04712854,https://hal.science/hal-04712854v1,Whole-Graph Representation Learning For the Classification of Signed Networks,"Noé Cecillon,Vincent Labatut,Richard Dufour,Nejat Arınık",2024-09-27,2024,IEEE Access,,
hal-04570932,https://hal.science/hal-04570932v1,Categorial Dependency Grammars extended with barriers (CDGb) yield an Abstract Family of Languages (AFL),"Denis Béchet,Annie Foret",2024-09-21,2024,,5th International Conference on Natural Language Processing and Computational Linguistics (NLPCL 2024),dk
hal-04684874,https://hal.science/hal-04684874v1,Zero-Shot End-To-End Spoken Question Answering In Medical Domain,"Yanis Labrak,Adel Moumen,Richard Dufour,Mickaël Rouvier",2024-09-01,2024,,Interspeech 2024,gr
hal-04621178,https://hal.science/hal-04621178v2,BioMistral: A Collection of Open-Source Pretrained Large Language Models for Medical Domains,"Yanis Labrak,Adrien Bazoge,Emmanuel Morin,Pierre‐antoine Gourraud,Mickaël Rouvier,Richard Dufour",2024-08-11,2024,,62th Annual Meeting of the Association for Computational Linguistics (ACL'24),th
hal-04635893,https://inria.hal.science/hal-04635893v1,DÉfi Fouille de Texte 2024,"Théo Charlot,Elisabeth Sisarith,Nicolas Stucky,Rémi Ilango,Nicolas Gouget,Hreshvik Sewraj,Xavier Pillet",2024-07-08,2024,,35èmes Journées d'Études sur la Parole (JEP 2024) 31ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN 2024) 26ème Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RECITAL 2024),fr
hal-04635890,https://inria.hal.science/hal-04635890v1,Tâches et systèmes de sélection automatique de réponses à des QCM dans le domaine médical : Présentation de la campagne DEFT 2024,"Adrien Bazoge,Labrak Yanis,Richard Dufour,Benoît Favre,Mickaël Rouvier",2024-07-08,2024,,35èmes Journées d'Études sur la Parole (JEP 2024) 31ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN 2024) 26ème Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RECITAL 2024),fr
hal-04623072,https://inria.hal.science/hal-04623072v1,Un paradigme pour l'interprétation des métriques et pour mesurer la gravité des erreurs de reconnaissance automatique de la parole,"Thibault Bañeras-Roux,Mickaël Rouvier,Jane Wottawa,Richard Dufour",2024-07-08,2024,,35èmes Journées d'Études sur la Parole (JEP 2024) 31ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN 2024) 26ème Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RECITAL 2024),fr
hal-04623050,https://inria.hal.science/hal-04623050v1,Adaptation des modèles de langue à des domaines de spécialité par un masquage sélectif fondé sur le genre et les caractéristiques thématiques,"Anas Belfathi,Ygor Gallina,Nicolas Hernandez,Laura Monceaux,Richard Dufour",2024-07-08,2024,,35èmes Journées d'Études sur la Parole (JEP 2024) 31ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN 2024) 26ème Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RECITAL 2024),fr
hal-04611122,https://hal.science/hal-04611122v2,Renard: A Modular Pipeline for Extracting Character Networks from Narrative Texts,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2024-06-20,2024,Journal of Open Source Software,,
hal-04566523,https://hal.science/hal-04566523v1,Improving Text Readability through Segmentation into Rheses,"Antoine Jamelot,Solen Quiniou,Sophie Hamon",2024-05-20,2024,,LREC-COLING 2024,it
hal-04484951,https://hal.science/hal-04484951v2,"CASIMIR: A Corpus of Scientific Articles enhanced with Multiple Author-Integrated Revisions,CASIMIR: Un corpus d'Articles Scientifiques Incluant les MultIples Revisions des auteurs","Léane Jourdan,Florian Boudin,Nicolas Hernandez,Richard Dufour",2024-05-20,2024,,LREC-Coling 2024,it
hal-04472399,https://hal.science/hal-04472399v2,How Important Is Tokenization in French Medical Masked Language Models?,"Yanis Labrak,Adrien Bazoge,Béatrice Daille,Mickaël Rouvier,Richard Dufour",2024-05-20,2024,,Fourteenth Language Resources and Evaluation Conference (LREC-COLING 2024),it
hal-04470938,https://hal.science/hal-04470938v1,DrBenchmark: A Large Language Understanding Evaluation Benchmark for French Biomedical Domain,"Yanis Labrak,Adrien Bazoge,Oumaima El Khettari,Mickaël Rouvier,Pacôme Constant Dit Beaufils,Natalia Grabar,Béatrice Daille,Solen Quiniou,Emmanuel Morin,Pierre‐antoine Gourraud,Richard Dufour",2024-05-20,2024,,Fourteenth Language Resources and Evaluation Conference (LREC-COLING 2024),it
hal-04470883,https://hal.science/hal-04470883v1,A Zero-shot and Few-shot Study of Instruction-Finetuned Large Language Models Applied to Clinical and Biomedical Tasks,"Yanis Labrak,Mickaël Rouvier,Richard Dufour",2024-05-20,2024,,Fourteenth Language Resources and Evaluation Conference (LREC-COLING 2024),it
